"","V1","V2","V3"
"1",0.7072,0.6204,0.6664
"2",0.3768,0.3612,0.5574
"3",0.1645,0.1252,0.122
"4",0.0489,0.0605,0.0866
"5",0.0476,0.0425,0.0465
"6",0.0461,0.0395,0.0301
