"","hyper_id","avg_cpm","sd","n","pvalue"
"1942",10395948,5.26978169855,0.744871827465,21,0.00408421332137682
"2041",10399366,7.09609535431,1.44599997307,21,0.0359489609872904
"2362",10405724,7.02159788037,1.52985664172,21,0.0483006099828278
"5206",10495456,11.0413551077,1.54373782338,21,0.00376477347810158
"6697",10546226,3.41170838911,0.585867953201,21,0.0147565428720111
"9863",10667066,5.59117420769,1.10295238249,21,0.0308365329698095
"11258",10710502,4.00087517586,0.758011284418,21,0.0252321770620569
"11465",10718865,1.30302351439,0.284613225744,21,0.0488117974896989
"12916",10760729,0.877668906494,0.142108085744,21,0.0103410718533522
"14765",10820134,2.81116375283,0.603293960216,21,0.0452888343454082
"15307",10848679,0.92796982522,0.196879360828,21,0.0430942875207512
"15399",10853228,0.584692754573,0.124635762789,21,0.043988759813799
"15562",10855358,4.49418893597,0.781841341089,21,0.0159046488484405
"16677",10949376,0.966713262131,0.183215218993,21,0.025274683805773
"17502",10971773,0.950301028414,0.166660767016,21,0.0166521259204292
"17563",10972794,12.2650935126,2.62911545622,21,0.0450631991396141
"19120",11008417,3.54852602502,0.522142277816,21,0.00546393801948011
"19463",11028534,1.91547855823,0.360045517622,21,0.0242266336973327
"19465",11028554,2.02239596016,0.432532630953,21,0.0446239604012532
"19768",11031621,5.26085675635,0.654745831903,21,0.00147759620796864
"19769",11031637,4.71712282047,0.788340861138,21,0.0125645456974127
"19770",11031663,6.12971395771,0.801067516781,21,0.00222114960322288
"19798",11031818,4.91130878651,0.807250406867,21,0.0113532944055212
"20933",11130100,3.18130886519,0.63997757761,21,0.0338548765420875
"21152",11141558,4.99513755527,1.01715885175,21,0.0358314570497177
"21680",11153497,3.62120840834,0.587715610838,21,0.0104952784177158
"22079",11158556,2.48921128651,0.515452823142,21,0.0386883952004969
"22724",11550749,0.810766549019,0.142501960061,21,0.0168599244266507
"24425",11740914,1.70165449171,0.367171770457,21,0.04635317730936
"27365",11929066,2.00873112119,0.344891081006,21,0.0147431649764785
"28001",12115068,1.00654670774,0.1790760586,21,0.0180472974032214
"29089",12259333,3.47635147322,0.387258033411,21,0.000539263092402978
"29090",12259334,1.90506675929,0.416210974446,21,0.0488591970867227
"29116",12259780,2.69468931633,0.441587621618,21,0.0111450893787357
"29130",12259971,3.93207159118,0.461702528152,21,0.000883114072568034
"29148",12260226,4.0935512456,0.747652440658,21,0.0208267141542601
"29165",12260525,2.37665258001,0.405332056647,21,0.0141759052528501
"29410",12295105,1.17000038118,0.236883246823,21,0.0348887864255757
"29500",12299043,21.997558872,2.89990769558,21,0.00238302811152537
"29501",12299044,12.4815793078,2.70562710992,21,0.047270364928714
"29629",12323116,2.41065013785,0.497355954048,21,0.0380502687280253
"29791",12332092,3.28111689075,0.666573312665,21,0.035445482797345
"31306",12435227,1.44377031468,0.261406507896,21,0.0198710084123394
"31438",12438181,1.0366123525,0.157873996825,21,0.00693467549100853
"31440",12438287,4.25531584014,0.871993031101,21,0.0368879233038003
"31550",12441117,6.27997602635,1.23417189881,21,0.0302787808768765
"31896",12457703,1.78248224173,0.302926952339,21,0.0138845544763217
"32182",12466715,2.51342184951,0.491377384036,21,0.0295176714163881
"34194",12568545,2.19655484261,0.398320361167,21,0.0200384343005322
"34247",12575152,2.85354396972,0.4601394247,21,0.0100772682022788
"34598",12587256,2.64614456784,0.557541401388,21,0.0418057019874096
"35060",12625693,4.82354349084,0.942719004883,21,0.0294732311964708
"35998",12661183,2.82025590705,0.586729136524,21,0.0395084555213998
"36151",12670591,1.59703262946,0.330424285829,21,0.0385400243902978
"36241",12672696,1.27938127289,0.27226202047,21,0.0436695190818381
"36330",12675734,1.5177243863,0.291470100117,21,0.0270212816874119
"37390",12735663,4.77684860111,0.853819854094,21,0.0185184345992698
"37406",12736622,2.01812551495,0.43234485978,21,0.0449485925605745
"37663",12748971,0.936051352,0.167286039558,21,0.018503198389758
"38106",12772728,2.02937708157,0.390906244797,21,0.0274317396787472
"38275",12788831,2.66671934261,0.576735327737,21,0.0468107674061962
"38353",12793080,1.45343814074,0.29180473532,21,0.0335393859748355
"38395",12794508,3.67522956855,0.407666536238,21,0.000517494137176827
"38399",12794521,3.96082720705,0.475115785159,21,0.0010706164763507
"39024",12808582,1.77205423293,0.363413628463,21,0.0370216894211279
"39170",12811199,4.1451632723,0.823823097117,21,0.0319622274948552
"39695",12840984,4.26505588787,0.78519354849,21,0.0217290965163488
"39697",12840987,3.75579122254,0.569248920907,21,0.00671111940570942
"39750",12841665,1.28338090638,0.204174909827,21,0.00924827366392089
"39999",12847390,1.06907080742,0.230294450163,21,0.0460256097670328
"40025",12847672,1.75755819913,0.358284007477,21,0.0360136015230189
"40146",12850202,2.24337495067,0.482999137201,21,0.0459202913760559
"40302",12854962,4.79848054499,0.688988935282,21,0.00458378555895313
"40336",12858630,8.8708177321,0.886156513299,21,0.00017851551396989
"40359",12859245,8.37771549398,0.865669842305,21,0.000254625732416957
"40360",12859246,7.75725785494,0.892072702548,21,0.000728801622955846
"40364",12859250,7.14830901575,0.87584287961,21,0.00129071972533862
"40657",12873939,4.0114393635,0.450737244219,21,0.000585718314221106
"40658",12873965,4.79180237525,0.744482297406,21,0.0079252214393218
"40659",12874017,5.27286561027,0.948056555175,21,0.0191291837729718
"40676",12874268,5.08397110112,1.04991502783,21,0.0382168693057284
"40683",12874330,2.821361304,0.535734941277,21,0.0255213143667796
"40693",12874524,1.77448943657,0.371448288427,21,0.0406120272091869
"41554",12911795,3.65619546339,0.397384602484,21,0.000424272884322206
"41557",12911818,3.23742356317,0.423286083992,21,0.00222970064653163
"41774",12918504,2.14411280348,0.467598730664,21,0.0484932448805611
